"","Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
"1",1973-01-01,"78","56","33","45","38","32","93","49","21","29.88","29.77","29.68","8","5","0","14","2","","0.00","4","","94<br />","Mexico City (MEX)","Winter"
"2",1973-01-02,"77","57","37","46","40","32","81","58","28","29.89","29.81","29.67","6","5","2","23","3","","0.00","2","","118<br />","Mexico City (MEX)","Winter"
"3",1973-01-03,"77","55","33","41","35","25","93","58","14","29.99","29.94","29.85","10","5","1","12","1","","0.00","0","Fog","95<br />","Mexico City (MEX)","Winter"
"4",1973-01-04,"69","52","35","41","37","32","87","67","33","29.83","29.83","29.83","10","5","2","12","1","","0.00","2","","80<br />","Mexico City (MEX)","Winter"
"5",1973-01-05,"78","58","39","45","38","30","81","55","17","29.88","29.80","29.68","9","5","2","17","1","","0.00","2","","100<br />","Mexico City (MEX)","Winter"
"6",1973-01-06,"77","57","37","43","36","32","81","56","24","30.28","29.94","29.72","6","5","2","12","1","","0.00","5","Fog","95<br />","Mexico City (MEX)","Winter"
"7",1973-01-07,"75","57","39","43","37","32","75","51","21","29.88","29.83","29.79","8","6","2","12","1","","0.00","3","","90<br />","Mexico City (MEX)","Winter"
"8",1973-01-08,"77","64","50","43","39","34","71","45","21","29.81","29.72","29.53","10","7","2","17","1","","0.00","2","","143<br />","Mexico City (MEX)","Winter"
"9",1973-01-09,"68","54","39","46","39","32","82","68","40","29.97","29.93","29.86","15","6","1","14","1","","0.00","3","","90<br />","Mexico City (MEX)","Winter"
"10",1973-01-10,"73","62","51","45","40","32","71","49","25","29.85","29.78","29.68","15","9","5","23","3","","0.00","5","Rain","198<br />","Mexico City (MEX)","Winter"
"11",1973-01-11,"68","56","48","46","41","32","87","56","26","29.94","29.84","29.78","15","10","6","17","0","","0.00","3","","330<br />","Mexico City (MEX)","Winter"
"12",1973-01-12,"55","46","37","39","33","32","87","69","41","30.22","30.12","30.06","9","6","2","0","0","","0.00","3","","-1<br />","Mexico City (MEX)","Winter"
"13",1973-01-13,"60","48","37","39","33","32","81","71","45","30.27","30.14","30.01","6","5","2","12","1","","0.00","5","","10<br />","Mexico City (MEX)","Winter"
"14",1973-01-14,"","","","","","","","","","30.20","30.11","30.05","10","6","2","9","0","","0.00","8","","355<br />","Mexico City (MEX)","Winter"
"15",1973-01-15,"42","40","37","41","35","32","93","83","76","30.10","30.02","29.93","10","7","2","17","2","","0.00","2","Fog","12<br />","Mexico City (MEX)","Winter"
"16",1973-01-16,"64","52","39","39","32","25","81","66","22","30.06","30.00","29.92","10","6","3","14","0","","0.00","3","","90<br />","Mexico City (MEX)","Winter"
"17",1973-01-17,"59","48","37","32","32","32","81","67","36","29.99","29.93","29.89","8","6","3","0","0","","0.00","3","","-1<br />","Mexico City (MEX)","Winter"
"18",1973-01-18,"77","57","37","32","32","28","81","68","17","30.00","29.98","29.95","6","5","2","0","0","","0.00","2","Fog","-1<br />","Mexico City (MEX)","Winter"
"19",1973-01-19,"50","44","37","32","32","32","81","73","50","29.96","29.92","29.88","10","6","4","23","4","","0.00","3","","155<br />","Mexico City (MEX)","Winter"
"20",1973-01-20,"62","56","51","52","36","32","94","49","32","29.83","29.74","29.63","15","7","3","29","9","","0.00","6","","171<br />","Mexico City (MEX)","Winter"
"21",1973-01-21,"53","46","39","48","34","32","94","57","44","31.50","30.58","29.66","10","8","3","23","7","","0.00","3","","181<br />","Mexico City (MEX)","Winter"
"22",1973-01-22,"42","40","37","41","33","30","93","74","65","29.83","29.76","29.72","15","9","3","17","2","","0.00","0","Fog","106<br />","Mexico City (MEX)","Winter"
"23",1973-01-23,"50","44","37","45","34","32","87","74","50","29.97","29.65","29.10","8","6","3","17","2","","0.00","2","Fog","84<br />","Mexico City (MEX)","Winter"
"24",1973-01-24,"64","40","35","34","32","32","87","67","30","29.87","29.82","29.71","10","6","1","29","7","","0.00","4","","158<br />","Mexico City (MEX)","Winter"
"25",1973-01-25,"71","60","41","39","35","32","70","43","31","29.84","29.78","29.63","15","7","3","17","2","","0.00","4","","110<br />","Mexico City (MEX)","Winter"
"26",1973-01-26,"73","56","39","37","34","32","75","53","25","29.83","29.75","29.65","6","4","2","12","1","","0.00","6","","97<br />","Mexico City (MEX)","Winter"
"27",1973-01-27,"57","47","37","37","33","32","81","72","41","","","","7","5","2","17","2","","0.00","4","","90<br />","Mexico City (MEX)","Winter"
"28",1973-01-28,"62","50","37","37","33","32","81","72","39","","","","6","6","2","17","1","","0.00","4","","350<br />","Mexico City (MEX)","Winter"
"29",1973-01-29,"46","39","37","32","32","32","81","73","57","30.15","30.10","30.02","8","6","2","12","4","","0.00","6","","315<br />","Mexico City (MEX)","Winter"
"30",1973-01-30,"42","40","37","41","33","32","93","76","66","30.04","29.95","29.86","10","5","3","17","1","","0.00","3","","100<br />","Mexico City (MEX)","Winter"
"31",1973-01-31,"66","52","39","32","30","21","75","55","18","29.86","29.80","29.71","8","5","2","17","1","","0.00","6","","260<br />","Mexico City (MEX)","Winter"
"32",1973-02-01,"71","58","44","37","34","32","61","40","25","29.85","29.80","29.73","10","6","2","17","1","","0.00","6","","90<br />","Mexico City (MEX)","Winter"
"33",1973-02-02,"75","56","37","37","34","32","81","46","21","29.94","29.87","29.76","6","4","2","9","1","","0.00","5","Fog","330<br />","Mexico City (MEX)","Winter"
"34",1973-02-03,"48","40","33","34","32","32","93","76","58","","","","6","5","0","12","1","","0.00","0","Fog","330<br />","Mexico City (MEX)","Winter"
"35",1973-02-04,"50","41","32","43","34","32","100","73","50","30.04","30.04","30.04","10","6","3","17","1","","0.00","1","","10<br />","Mexico City (MEX)","Winter"
"36",1973-02-05,"41","39","37","32","32","32","81","76","70","30.10","30.02","29.95","15","8","5","17","1","","0.00","0","","100<br />","Mexico City (MEX)","Winter"
"37",1973-02-06,"50","44","37","32","29","1","81","65","14","30.07","30.07","30.07","6","6","2","23","1","","0.00","0","Fog","115<br />","Mexico City (MEX)","Winter"
"38",1973-02-07,"51","43","35","36","33","32","93","72","54","30.06","30.06","30.06","10","6","6","17","3","","0.00","0","Fog","169<br />","Mexico City (MEX)","Winter"
"39",1973-02-08,"46","38","35","34","32","32","93","74","57","","","","10","6","2","29","4","29","0.00","0","","169<br />","Mexico City (MEX)","Winter"
"40",1973-02-09,"50","44","37","41","35","32","81","76","71","29.76","29.72","29.68","15","9","6","23","4","","0.00","0","","215<br />","Mexico City (MEX)","Winter"
"41",1973-02-10,"71","55","39","43","34","32","93","64","27","29.78","29.78","29.78","6","6","2","17","3","","0.00","3","","69<br />","Mexico City (MEX)","Winter"
"42",1973-02-11,"41","38","35","34","32","32","93","74","70","","","","6","6","2","17","2","","0.00","","","107<br />","Mexico City (MEX)","Winter"
"43",1973-02-12,"69","52","35","46","34","32","87","73","43","29.85","29.85","29.85","10","6","2","17","1","","0.00","6","","73<br />","Mexico City (MEX)","Winter"
"44",1973-02-13,"69","53","37","37","33","30","81","51","23","29.91","29.82","29.67","10","6","2","23","3","","0.00","2","Fog","100<br />","Mexico City (MEX)","Winter"
"45",1973-02-14,"77","62","48","34","33","32","58","34","19","29.88","29.81","29.75","10","6","2","12","1","","0.00","3","","200<br />","Mexico City (MEX)","Winter"
"46",1973-02-15,"77","56","35","41","35","32","87","64","26","29.76","29.73","29.69","6","5","2","17","2","","0.00","3","","105<br />","Mexico City (MEX)","Winter"
