"","Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
"41",1996-07-01,"53","","53","50","50","50","88","88","88","30.18","30.18","30.18","","","","0","0","","0.00","","","-1<br />","Nairobi (KEN)","Summer"
"42",1996-07-02,"75","63","51","52","50","46","94","63","44","30.21","30.17","30.09","6","6","6","16","4","","0.00","2","","68<br />","Nairobi (KEN)","Summer"
"43",1996-07-03,"73","63","53","55","52","48","88","69","44","30.27","30.21","30.15","6","6","6","14","7","","0.00","4","","60<br />","Nairobi (KEN)","Summer"
"44",1996-07-04,"75","66","59","59","56","54","94","74","47","30.27","30.22","30.15","6","6","6","7","3","","0.00","5","","71<br />","Nairobi (KEN)","Summer"
"45",1996-07-05,"75","68","60","55","54","50","77","60","47","30.24","30.17","30.12","6","6","6","7","4","","0.00","5","","169<br />","Nairobi (KEN)","Summer"
"46",1996-07-06,"69","58","53","59","54","52","94","87","64","30.24","30.18","30.15","6","6","6","10","1","","0.00","4","","194<br />","Nairobi (KEN)","Summer"
"47",1996-07-07,"78","64","51","61","56","52","100","81","44","30.18","30.14","30.06","6","6","0","15","5","","0.00","5","Fog-Rain-Thunderstorm","152<br />","Nairobi (KEN)","Summer"
"48",1996-07-08,"69","64","60","61","60","59","100","89","68","30.21","30.15","30.12","6","6","6","9","3","","0.00","5","Rain","57<br />","Nairobi (KEN)","Summer"
"49",1996-07-09,"66","62","59","61","59","57","100","89","78","30.24","30.18","30.15","6","6","6","9","5","","0.00","6","","104<br />","Nairobi (KEN)","Summer"
"50",1996-07-10,"69","63","57","57","55","54","88","71","56","30.27","30.20","30.12","6","6","6","8","6","","0.00","7","","112<br />","Nairobi (KEN)","Summer"
"51",1996-07-11,"69","64","59","57","55","54","88","72","60","30.21","30.19","30.15","6","6","6","6","3","","0.00","6","","130<br />","Nairobi (KEN)","Summer"
"52",1996-07-12,"64","62","59","59","58","55","100","93","73","30.24","30.19","30.15","6","6","6","9","4","","0.00","6","Rain","92<br />","Nairobi (KEN)","Summer"
"53",1996-07-13,"62","60","57","59","58","57","100","94","82","30.27","30.20","30.15","6","6","1","10","2","","0.00","6","Fog","65<br />","Nairobi (KEN)","Summer"
"54",1996-07-14,"69","63","57","59","57","55","100","83","60","30.24","30.19","30.15","6","6","6","15","3","","0.00","6","","135<br />","Nairobi (KEN)","Summer"
"55",1996-07-15,"75","66","57","63","58","55","94","87","61","30.24","30.20","30.15","6","6","6","6","1","","0.00","5","","226<br />","Nairobi (KEN)","Summer"
"56",1996-07-16,"69","58","48","61","56","48","100","87","68","30.24","30.17","30.09","6","6","6","9","4","","0.00","7","","114<br />","Nairobi (KEN)","Summer"
"57",1996-07-17,"62","60","57","57","55","54","94","87","77","30.27","30.22","30.18","6","6","6","12","5","","0.00","6","Rain","176<br />","Nairobi (KEN)","Summer"
"58",1996-07-18,"69","62","55","54","52","50","94","75","49","30.30","30.24","30.21","6","6","6","9","6","","0.00","5","","199<br />","Nairobi (KEN)","Summer"
"59",1996-07-19,"66","58","51","55","51","48","94","73","52","30.33","30.26","30.21","6","6","6","9","5","","0.00","5","","192<br />","Nairobi (KEN)","Summer"
"60",1996-07-20,"68","60","53","54","52","50","94","69","52","30.30","30.24","30.18","6","6","6","9","4","","0.00","6","","169<br />","Nairobi (KEN)","Summer"
"61",1996-07-21,"64","60","57","54","53","52","88","79","68","30.30","30.23","30.18","6","6","6","9","3","","0.00","5","","181<br />","Nairobi (KEN)","Summer"
"62",1996-07-22,"60","56","51","54","52","50","94","85","77","30.30","30.26","30.21","6","6","6","12","5","","0.00","6","","213<br />","Nairobi (KEN)","Summer"
"63",1996-07-23,"71","60","48","54","51","48","100","63","46","30.30","30.23","30.18","6","6","6","9","5","","0.00","7","","164<br />","Nairobi (KEN)","Summer"
"64",1996-07-24,"68","62","55","54","52","50","88","73","56","30.33","30.26","30.21","6","6","6","14","8","","0.00","6","","165<br />","Nairobi (KEN)","Summer"
"65",1996-07-25,"73","62","51","54","51","48","94","67","46","30.30","30.24","30.18","6","6","6","9","6","","0.00","4","","144<br />","Nairobi (KEN)","Summer"
"66",1996-07-26,"75","65","55","54","51","48","88","66","41","30.30","30.23","30.15","6","6","6","8","4","","0.00","5","","155<br />","Nairobi (KEN)","Summer"
"67",1996-07-27,"66","57","48","55","53","48","100","85","64","30.27","30.22","30.18","6","6","6","8","3","","0.00","5","","356<br />","Nairobi (KEN)","Summer"
"68",1996-07-28,"71","63","55","55","54","54","100","77","53","30.27","30.20","30.12","6","6","6","13","4","","0.00","6","","150<br />","Nairobi (KEN)","Summer"
"69",1996-07-29,"73","63","53","54","51","50","88","71","44","30.27","30.22","30.15","6","6","6","9","4","","0.00","5","","196<br />","Nairobi (KEN)","Summer"
"70",1996-07-30,"75","60","46","54","51","45","94","74","44","30.30","30.21","30.15","6","6","6","13","4","","0.00","4","","63<br />","Nairobi (KEN)","Summer"
"71",1996-07-31,"68","59","50","55","49","12","100","76","18","30.27","30.22","30.18","6","6","6","9","6","","0.00","5","","116<br />","Nairobi (KEN)","Summer"
"72",1996-08-01,"73","62","51","55","53","46","88","70","50","30.24","30.21","30.15","6","6","6","12","8","","0.00","2","","29<br />","Nairobi (KEN)","Summer"
"73",1996-08-02,"80","68","55","55","54","50","94","72","36","30.30","30.22","30.15","6","6","6","14","5","","0.00","4","","153<br />","Nairobi (KEN)","Summer"
"74",1996-08-03,"80","64","48","55","52","48","100","69","37","30.27","30.19","30.12","6","6","6","15","5","","0.00","4","","177<br />","Nairobi (KEN)","Summer"
"75",1996-08-04,"82","64","46","52","45","39","93","55","25","30.21","30.15","30.06","6","6","6","15","8","","0.00","3","","190<br />","Nairobi (KEN)","Summer"
"76",1996-08-05,"80","62","44","48","45","41","87","56","28","30.24","30.18","30.12","6","6","3","13","6","","0.00","2","","206<br />","Nairobi (KEN)","Summer"
"77",1996-08-06,"78","61","44","52","46","41","87","60","32","30.24","30.18","30.09","6","6","6","15","6","","0.00","2","","184<br />","Nairobi (KEN)","Summer"
"78",1996-08-07,"77","62","46","61","47","43","87","65","39","30.27","30.20","30.12","6","6","6","16","4","","0.00","3","","214<br />","Nairobi (KEN)","Summer"
"79",1996-08-08,"75","60","46","50","47","45","93","62","36","30.30","30.22","30.15","6","6","6","12","5","","0.00","3","","149<br />","Nairobi (KEN)","Summer"
"80",1996-08-09,"75","62","48","52","47","43","94","65","31","30.30","30.23","30.15","6","6","6","10","3","","0.00","3","","193<br />","Nairobi (KEN)","Summer"
"81",1996-08-10,"77","60","44","50","45","41","93","62","28","30.30","30.22","30.12","6","6","6","12","5","","0.00","2","","185<br />","Nairobi (KEN)","Summer"
"82",1996-08-11,"77","60","44","50","48","43","100","63","36","30.27","30.20","30.12","6","6","6","16","6","","0.00","3","Fog","150<br />","Nairobi (KEN)","Summer"
"83",1996-08-12,"64","60","55","55","52","48","94","76","63","30.30","30.24","30.21","6","6","6","8","4","","0.00","6","","176<br />","Nairobi (KEN)","Summer"
"84",1996-08-13,"66","62","57","55","54","52","94","80","60","30.30","30.21","30.15","6","6","2","7","3","","0.00","6","","158<br />","Nairobi (KEN)","Summer"
"85",1996-08-14,"78","64","51","57","54","48","100","75","36","30.21","30.15","30.06","6","6","4","16","7","","0.00","4","Rain-Thunderstorm","223<br />","Nairobi (KEN)","Summer"
"86",1996-08-15,"66","60","53","57","54","52","100","82","68","30.27","30.18","30.15","6","6","6","10","3","","0.00","5","","46<br />","Nairobi (KEN)","Summer"
"87",1996-08-16,"69","63","57","55","55","54","94","79","56","30.24","30.19","30.12","6","6","6","12","3","","0.00","6","","113<br />","Nairobi (KEN)","Summer"
"88",1996-08-17,"71","62","53","55","54","52","94","73","53","30.21","30.16","30.09","6","6","6","10","4","","0.00","4","","129<br />","Nairobi (KEN)","Summer"
"89",1996-08-18,"77","66","55","54","52","50","88","64","39","30.21","30.15","30.06","6","6","6","12","6","","0.00","5","","137<br />","Nairobi (KEN)","Summer"
"90",1996-08-19,"78","68","57","55","54","50","94","68","41","30.18","30.12","30.04","6","6","6","12","5","","0.00","5","","46<br />","Nairobi (KEN)","Summer"
"91",1996-08-20,"75","64","53","55","54","50","88","68","47","30.18","30.11","30.04","6","6","6","9","5","","0.00","6","","162<br />","Nairobi (KEN)","Summer"
"92",1996-08-21,"77","66","55","57","56","54","94","76","47","30.18","30.13","30.09","6","6","6","15","5","","0.00","4","","67<br />","Nairobi (KEN)","Summer"
"93",1996-08-22,"64","60","59","57","56","55","88","84","73","30.24","30.16","30.12","6","6","6","9","4","","0.00","6","","11<br />","Nairobi (KEN)","Summer"
