"","Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
"1",1972-01-01,"43","42","42","38","36","34","85","79","71","30.17","30.13","30.09","15","9","6","25","22","","0.00","","Rain","168<br />","Reykjavik (ISL)","Winter"
"2",1972-01-02,"43","42","42","40","38","37","89","86","82","30.10","30.07","30.04","10","8","5","23","20","","0.00","","Fog","168<br />","Reykjavik (ISL)","Winter"
"3",1972-01-03,"42","40","39","37","33","30","82","74","67","30.12","30.09","30.02","20","14","10","28","19","","0.00","","Rain","133<br />","Reykjavik (ISL)","Winter"
"4",1972-01-04,"42","40","39","38","35","31","89","79","70","30.04","29.87","29.76","20","8","5","41","29","","0.00","","Rain","140<br />","Reykjavik (ISL)","Winter"
"5",1972-01-05,"43","42","41","41","40","37","96","92","82","29.82","29.77","29.72","10","4","2","34","29","","0.00","","Rain","146<br />","Reykjavik (ISL)","Winter"
"6",1972-01-06,"42","42","41","37","34","31","82","75","65","29.81","29.67","29.49","10","8","4","38","29","","0.00","","Rain","135<br />","Reykjavik (ISL)","Winter"
"7",1972-01-07,"43","41","39","40","36","33","93","83","77","29.52","29.47","29.41","15","7","3","39","22","","0.00","","Rain","138<br />","Reykjavik (ISL)","Winter"
"8",1972-01-08,"43","41","39","38","33","26","85","71","55","29.44","29.38","29.27","20","8","4","34","28","","0.00","","Rain","121<br />","Reykjavik (ISL)","Winter"
"9",1972-01-09,"42","40","39","37","35","31","86","80","67","29.60","29.38","29.15","15","12","10","28","22","","0.00","","Rain","137<br />","Reykjavik (ISL)","Winter"
"10",1972-01-10,"41","39","37","35","32","29","82","74","67","29.61","29.46","29.28","15","15","15","21","16","","0.00","","Rain","87<br />","Reykjavik (ISL)","Winter"
"11",1972-01-11,"45","42","39","41","34","32","89","74","65","29.26","29.06","28.92","20","16","6","21","15","","0.00","","Rain","82<br />","Reykjavik (ISL)","Winter"
"12",1972-01-12,"45","42","39","36","31","28","73","65","58","28.92","28.86","28.75","20","20","20","23","16","","0.00","","Rain","80<br />","Reykjavik (ISL)","Winter"
"13",1972-01-13,"39","36","34","31","27","22","73","65","57","29.33","29.00","28.74","20","13","4","30","11","","0.00","","Rain","178<br />","Reykjavik (ISL)","Winter"
"14",1972-01-14,"41","39","37","30","25","17","76","59","44","29.57","29.49","29.36","20","15","10","21","14","","0.00","","Rain","90<br />","Reykjavik (ISL)","Winter"
"15",1972-01-15,"46","42","39","41","35","27","82","72","62","29.54","29.31","29.04","10","6","3","34","18","","0.00","","Rain","117<br />","Reykjavik (ISL)","Winter"
"16",1972-01-16,"46","44","42","36","34","30","74","67","60","29.02","28.97","28.87","15","9","4","40","31","","0.00","","Rain","124<br />","Reykjavik (ISL)","Winter"
"17",1972-01-17,"43","36","28","33","26","20","79","72","64","29.12","29.06","28.97","20","6","0","21","15","","0.00","","Rain-Snow","234<br />","Reykjavik (ISL)","Winter"
"18",1972-01-18,"30","28","25","25","21","18","82","74","66","29.05","28.88","28.74","20","10","0","16","9","","0.00","","Snow","107<br />","Reykjavik (ISL)","Winter"
"19",1972-01-19,"35","32","30","26","22","18","79","65","52","28.71","28.50","28.43","15","6","1","32","20","","0.00","","Snow","284<br />","Reykjavik (ISL)","Winter"
"20",1972-01-20,"37","34","32","28","22","18","73","61","54","29.29","28.83","28.51","20","13","4","29","23","","0.00","","Snow","283<br />","Reykjavik (ISL)","Winter"
"21",1972-01-21,"39","34","30","31","23","17","76","60","44","29.35","29.08","28.79","20","8","2","40","16","","0.00","","Rain-Snow","154<br />","Reykjavik (ISL)","Winter"
"22",1972-01-22,"35","31","27","24","21","16","81","70","48","29.10","29.02","28.90","20","7","0","34","24","","0.00","","Snow","221<br />","Reykjavik (ISL)","Winter"
"23",1972-01-23,"30","26","21","24","15","9","85","63","45","28.87","28.77","28.73","20","8","1","23","13","","0.00","","Snow","250<br />","Reykjavik (ISL)","Winter"
"24",1972-01-24,"32","28","23","20","13","8","72","57","49","29.31","29.11","28.80","10","6","2","16","9","","0.00","","Snow","49<br />","Reykjavik (ISL)","Winter"
"25",1972-01-25,"33","29","25","21","17","11","69","60","54","29.24","29.01","28.87","15","9","3","34","20","","0.00","","Snow","57<br />","Reykjavik (ISL)","Winter"
"26",1972-01-26,"30","28","23","18","15","12","63","58","53","29.73","29.22","28.90","20","20","20","29","17","","0.00","","","16<br />","Reykjavik (ISL)","Winter"
"27",1972-01-27,"42","32","24","36","19","8","79","60","41","29.96","29.84","29.64","20","6","2","40","15","","0.00","0","Rain","128<br />","Reykjavik (ISL)","Winter"
"28",1972-01-28,"48","42","39","41","34","28","85","72","60","29.95","29.79","29.57","20","7","2","41","22","","0.00","","Fog-Rain","163<br />","Reykjavik (ISL)","Winter"
"29",1972-01-29,"48","44","39","45","35","29","97","73","56","29.94","29.71","29.47","10","7","2","41","31","","0.00","","Rain","158<br />","Reykjavik (ISL)","Winter"
"30",1972-01-30,"46","44","41","44","41","37","100","86","74","29.88","29.78","29.67","15","6","3","41","32","","0.00","","Rain","147<br />","Reykjavik (ISL)","Winter"
"31",1972-01-31,"44","40","37","38","34","28","93","76","65","29.85","29.75","29.69","15","9","4","23","17","","0.00","","Rain-Snow","102<br />","Reykjavik (ISL)","Winter"
"32",1972-02-01,"39","38","37","34","30","27","86","74","62","29.70","29.49","29.37","20","10","4","29","24","","0.00","","Rain-Snow","85<br />","Reykjavik (ISL)","Winter"
"33",1972-02-02,"43","41","39","35","33","32","79","73","67","29.61","29.48","29.38","20","16","5","25","20","","0.00","","Rain","100<br />","Reykjavik (ISL)","Winter"
"34",1972-02-03,"41","39","37","32","27","23","73","62","51","29.62","29.55","29.47","","","","28","19","","0.00","","","64<br />","Reykjavik (ISL)","Winter"
"35",1972-02-04,"42","40","37","34","31","29","79","73","65","29.51","29.45","29.41","20","20","20","28","22","","0.00","","Rain","40<br />","Reykjavik (ISL)","Winter"
"36",1972-02-05,"39","36","34","36","34","31","93","87","76","29.62","29.54","29.51","","","","23","14","","0.00","","","35<br />","Reykjavik (ISL)","Winter"
"37",1972-02-06,"44","39","34","41","37","31","96","92","86","29.68","29.63","29.60","20","13","7","14","8","","0.00","","Rain","81<br />","Reykjavik (ISL)","Winter"
"38",1972-02-07,"42","40","39","41","39","37","96","93","89","29.72","29.70","29.68","20","12","10","13","9","","0.00","","Rain","118<br />","Reykjavik (ISL)","Winter"
"39",1972-02-08,"39","36","32","36","33","29","97","90","79","29.67","29.60","29.57","20","20","20","7","4","","0.00","0","Rain-Snow","37<br />","Reykjavik (ISL)","Winter"
"40",1972-02-09,"39","36","32","37","34","29","97","91","83","29.57","29.41","29.17","20","16","4","17","9","","0.00","0","Rain-Snow","68<br />","Reykjavik (ISL)","Winter"
"41",1972-02-10,"41","39","37","36","33","30","89","80","70","29.16","28.82","28.52","15","15","15","21","15","","0.00","","Rain","56<br />","Reykjavik (ISL)","Winter"
"42",1972-02-11,"39","36","34","37","32","29","93","84","73","28.88","28.75","28.52","20","17","15","21","10","","0.00","","","65<br />","Reykjavik (ISL)","Winter"
"43",1972-02-12,"37","36","35","36","35","33","100","96","89","29.21","29.01","28.87","15","5","0","23","14","","0.00","","Snow","327<br />","Reykjavik (ISL)","Winter"
"44",1972-02-13,"35","31","27","33","27","19","100","87","72","29.40","29.34","29.22","10","6","0","23","15","","0.00","","Snow","25<br />","Reykjavik (ISL)","Winter"
"45",1972-02-14,"28","24","21","29","22","17","100","86","78","29.72","29.50","29.33","15","8","0","23","12","","0.00","","Snow","22<br />","Reykjavik (ISL)","Winter"
"46",1972-02-15,"27","24","21","20","14","7","78","69","51","30.09","29.89","29.73","","","","21","13","","0.00","0","","65<br />","Reykjavik (ISL)","Winter"
"47",1972-02-16,"42","33","25","41","29","22","97","84","73","30.20","30.02","29.63","15","8","5","37","13","","0.00","","Rain-Snow","178<br />","Reykjavik (ISL)","Winter"
"48",1972-02-17,"46","42","39","45","42","39","100","97","89","29.67","29.61","29.54","15","6","0","31","17","","0.00","","Fog-Rain","209<br />","Reykjavik (ISL)","Winter"
"49",1972-02-18,"45","44","42","43","41","37","100","93","80","29.65","29.53","29.29","20","9","2","28","19","","0.00","","Rain","172<br />","Reykjavik (ISL)","Winter"
"50",1972-02-19,"45","40","34","44","33","26","100","85","60","29.45","29.30","29.12","20","8","0","39","24","","0.00","","Rain-Snow","190<br />","Reykjavik (ISL)","Winter"
"51",1972-02-20,"48","42","37","48","36","27","100","79","62","29.43","29.00","28.78","20","7","2","46","37","","0.00","","Rain","170<br />","Reykjavik (ISL)","Winter"
"52",1972-02-21,"39","37","35","36","29","24","89","70","57","30.01","29.80","29.49","20","13","2","34","22","","0.00","","Rain-Snow","227<br />","Reykjavik (ISL)","Winter"
"53",1972-02-22,"45","43","41","45","43","36","100","97","82","29.95","29.71","29.59","10","5","2","34","24","","0.00","","Rain","167<br />","Reykjavik (ISL)","Winter"
"54",1972-02-23,"46","42","37","46","40","30","100","91","73","30.04","29.73","29.57","15","6","2","30","21","","0.00","","Rain","232<br />","Reykjavik (ISL)","Winter"
"55",1972-02-24,"48","42","37","48","39","30","100","89","73","30.11","30.09","30.05","20","10","2","17","8","","0.00","","Fog-Rain","132<br />","Reykjavik (ISL)","Winter"
